untouchable||[ʌn`tʌtʃəbl; ʌnˋtʌtʃəbl]|||un.touch.a.ble<br>[ʌn`tʌtʃəbl; ʌnˋtʌtʃəbl]<br>形容词<br>1 不可触摸的,碰不得的,禁止的<br>2 手碰不到的; 无敌的,无比的<br>3 污秽的; 贱民的<br>可数名词<br>[常 U~] (原指印度最低阶级的) 贱民<br> -able adj.
regress|[sound:f3c254b345072b6a3b407c60462d3b1e.mp3]|/rɪˈɡres/|<img src="8626eb36f3247bd8e9313c17997bd084.jpg"></img>|Once in a while he likes to <b>regress</b> back to his childhood.|v. 后退，退化，恶化；  n. 回归；退回<br>re- = back, again, against <br>gress = to go
progress|[sound:06ef4477f72c53cb465f9effde1ff151.mp3]|/'prɑɡrɛs/|<img src="8c8034d875465a71cc7e2855113f8460.jpg"></img>|They make <b>progress</b> cleaning the mess.|sing. n. 进展<br>pro- = 前
ingress|[sound:45ce2af740aba18e64d7227a00c59f39.mp3]|[`IngrZs; ˋin^rєs]|||in.gress<br>[`IngrZs; ˋin^rєs]<br>名词<br>(←→ egress)<br>1 (U)<br>a. 进入,进来,入内<br>b. 入场的权利 [自由]<br>2 (C)入口 (entrance)
improvise|[sound:eb27226c19976e2b5491741b4dcb9fdd.mp3]|/'ɪmprəvaɪz/|<img src="437949becf75b966f9d00642438c2d4b.jpg"></img>|I can't swim, but luckily I have this <b>improvise</b>d floatation device.|v.临时准备<br>，即兴创作<br>im-/in- = into, not <br>vis = to see <br>visit <br>it = to go
benefactor|[sound:cee24f40a15a0ab601d495add8b251d9.mp3]|/ˈbenɪfæktər/|<img src="bccf812580b3c702a8cc8c2f424cd30b.jpg"></img>|I'd like to thank my generous <b>benefactor</b> for her donation to my college fund.|n. 恩人；捐助者；施主<br>bene- = benefit 益处 <br> fact = to make <br>-or = 人 <br> factory 工厂
manufacturer|[sound:1ef6da5029141d86d34d6c403051b6e6.mp3]|/ˌmænjuˈfæktʃərər/|<img src="076ea01e630c5776fcaadb18cb85d14a.jpg"></img>|The <b>manufacturer</b>s must pay the emperor.|c. 生产商 <br> manu- 手 manual 手册
shell|[sound:6129eaf36a68812ce5a2f1babb3d4dda.mp3]|/ʃel/|<img src="4b152e844f0bf99d6ecc71ea63fb2175.jpg"></img>|The man fell on the <b>shell</b>.|n. 甲壳
shelter|[sound:d031d3d6408b40dfe25a41857c879f4c.mp3]|/ˈʃeltər/|<img src="5be9d0f70420a496427585cf1b8c5344.jpg"></img>|He sweltered in his <b>shelter</b>.|c. 收容所 <br>shelt = shell 壳
shield|[sound:b5d35ff38d306631c852f1302aa74300.mp3]|/ʃiːld/|<img src="091f7db199e83a637cf1c99c320f329e.png"></img>|She carried her <b>shield</b> in the field.|c. 盾牌 <br>shield = shell
fetter|[sound:177a0f2c354f0f234f81eb2e03d5418e.mp3]|/ˈfetər/|<img src="c91be2201a743a0fa130a9acf39f1ef0.jpg"></img>|Please take these <b>fetter</b>s off my legs.|n. 脚镣；束缚；  vt. 给…上脚镣；束缚 <br>fet = feet 脚
