cacophonous||[kæ`kɑfənəs, kə-; kæˋkɒfənəs]|||ca.coph.o.nous<br>[kæ`kɑfənəs, kə-; kæˋkɒfənəs]<br>形容词<br>声音不和谐的; 刺耳的 <br> 想 卡壳的声音 不和谐的 <br> n. cacophony
euphonious|[sound:b0357ad5dd760184dd533f608da332ff.mp3]|/juː'foʊniəs/|<img src="8bfc45408e5b992d798f0945a8b6e634.jpg"></img>|I love the music; it is so beautiful and <b>euphonious</b>.|adj. 悦耳的；好听的；声音和谐的<br> eu = well <br> 好声音的
phonograph|[sound:a115268d18b6f92e28791ef67f704b9b.mp3]|/ˈfoʊnəɡræf/|<img src="ae53203677eec2e013ba96314be483e0.jpg"></img>|The music player has improved much over the years, from the <b>phonograph</b> to the iPod.|n. 留声机 <br> graph 写，记录
symphony|[sound:02dafc14f1c47f890f38f8e9f321f8fb.mp3]|/ˈsɪmfəni/|<img src="9d16a78deb1ac9993e610296e76cd097.jpg"></img>|The <b>symphony</b> orchestra consists of five identical men.|n. 交响乐，交响曲；谐音 <br> 同时发声的
callous|[sound:09787e434b309cced2b61ac8f3c6e4d5.mp3]|/ˈkæləs/|<img src="d66657b86c0a15949568b380e7814c18.jpg"></img>|What a <b>callous</b>, unfeeling man.|adj. 无情的，铁石心肠的，硬结的 <br> call = cool 冷 <br> calloused hands 长满老茧的双手
calumny|[sound:cefcedaacbfcaab2c8d2ed9197807186.mp3]|/ˈkæləmni/|<img src="6747519a85fc8a582efcee8967a62b0a.jpg"></img>|What is this <b>calumny</b>? I never cheated on my girlfriend! Stop saying it!|n. 诽谤，中伤 <br> 想 开了你
calumniate|[sound:f49740fafbe41dc7c7f05c33a6062e6d.mp3]|/kə'lʌmnɪˌeɪt/|<img src="9d66a1bb9af6343cb599248d3edb8552.jpg"></img>|My boss <b>calumniate</b>d me at work for making a mistake--even though he made the mistake!|v. 诽谤，中伤，诬蔑 <br> n. calumny 想 开了你
vilify|[sound:c4d38af45a7da450872ec3629788253f.mp3]|/ˈvɪlɪfaɪ/|<img src="be062d6fcc287e677eae8b207a46effd.jpg"></img>|Please don't <b>vilify</b> me just because I'm new and made a couple of mistakes!|v. 辱骂，诽谤
malign|[sound:c9dd1828ac1ac5b6b0e53fe000d1ed84.mp3]|/məˈlaɪn/|<img src="242b3e3cc963a785f51c9f1484643f61.jpg"></img>|Unfortunately, it's human nature for everyone to <b>malign</b> the new guy.|v. 诽谤，中伤；  adj. 邪恶的；有害的
slander|[sound:6dd188380a2631e68533c44f57401850.mp3]|/'slændɚ/|<img src="ca73ac6e6dcbc968faf3aaaf34be7532.jpg"></img>|It's all malignant <b>slander</b> to me.|n. 诽谤,诋毁;【法】毁谤  v.讲坏话,污蔑,诽谤 <br> sl 滑 <br> 往下拉，诋毁 <br> slender 苗条
libel|[sound:d6b486bebda1cf8795ff7abbe477c57b.mp3]|/ˈlaɪbl/|<img src="b6dacb638799545a6ad6cd0014161e3d.jpg"></img>|The <b>libel</b> pissed him off!|n. 诽谤，中伤，诋毁；毁坏名誉的东西；控诉书；  v. 中伤；控告；对…进行诽谤 <br> 文字上的诽谤 <br> 想 label 贴标签的诽谤
camouflage|[sound:ea2801805e304d464ff3011bc12548ba.mp3]| [ˈkæməˌflɑʒ]|<img src="dee83c384645bd394d7c8cb364d8fca8.jpg"></img>|They <b>camouflage</b> themselves as a part of the forest.|n.伪装；掩饰<br>v.使改头换面，伪装，掩饰；欺瞒 <br> 想 ca mou flag 插 某国 flag <br> masquerade 带面具 伪装
cantankerous|[sound:4c985f14e15ecbc9771e0b9922b45fe6.mp3]|/kænˈtæŋkərəs/|<img src="eff90dddb2f5db6a7226992a05c9334d.jpg"></img>|"GET OFF MY LAWN!" said the old, <b>cantankerous</b> man.|adj. 脾气坏的，好争吵的<br> 想 能开坦克的人脾气不好 <br> anker = anger 生气
peevish||/'piːvɪʃ/|<img src="2c9c470b52a362ce8292c145818349fd.jpg"></img>|She's a <b>peevish</b> person who easily gets angry over little things.|adj. 易怒的，暴躁的，撒娇的 <br> 想 pee 到处尿尿的
