safer||[sєf; sєif]|||This medicine is not ~ for children.<br>这种药对小孩不安全 
cipher|[sound:3165c8e334b81ad88fc7f8054853bb98.mp3]| [ˈsaɪfər]|<img src="fafd8b5d4dd9d20424570c1e84471c78.jpg"></img>|The diver cracked the <b>cipher</b>. |c. 密码 <br>音近 safer
decipher|[sound:f9d104ce4da9dbf9f7223ed8a8bc838b.mp3]|/dɪˈsaɪfər/|<img src="3b5099f4287061a3a9bb4aa6c13831da.jpg"></img>|If we <b>decipher</b> the computer code, we can steal a lot of money.|n. 密电译文;  vt. 解释；破译<br>cipher 密码
code|[sound:b8129488a35531da59cc66c7b7babf47.mp3]|/koʊd/|<img src="baccacbfbe1afbcfa98f9bd786fc923e.jpg"></img>|He entered the <b>code</b> to make it explode.|c. 密码
encode|[sound:36791089827655e72762d451ef562399.mp3]|/ɪnˈkoʊd/|<img src="23ac1bcd53b863d31ffed4ec0d966128.jpg"></img>|Your DNA chromosomes <b>encode</b> a lot of information about who you are.|v. 把（电文等）译成电码（或密码），编码
decode|[sound:3f8b18be6a34ed31088ed1b2edad4dda.mp3]|/ˌdiːˈkoʊd/|<img src="31df5226477c2fe979e4ce75f14bafd6.jpg"></img>|Sherlock Holmes managed to <b>decode</b> the 'Dancing Men' cipher by replacing each man by a letter.|v. 译解；解码
deduct|[sound:0eb650abca1e52becc5fd2e33181c870.mp3]|/dɪˈdʌkt/|<img src="a585dc98670ccf6c9c703d8632e09370.jpg"></img>|This coupon will <b>deduct</b> 50% off the sale price.|v. 扣除，减去<br>duce/duct = to lead 引导<br>de- down<br>duce/duct = to lead
deductible||[dI`dʌktəbl; diˋdʌktəbl]|||de.duct.i.ble<br>[dI`dʌktəbl; diˋdʌktəbl]<br>形容词<br>可扣除的<br>duce/duct = to lead 引导<br>-ible adj.<br>de- down<br>duce/duct = to lead
duct||[dʌkt; dʌkt]|||duct<br>[dʌkt; dʌkt]<br>可数名词<br>1 输水管<br>2‘生理’导管,输送管<br>3‘植物’导管,脉管<br>4‘建筑’暗渠,管道<br>5‘电学’ (电线、电缆等的) 线渠<br>duce/duct = to lead
abduct|[sound:ced4e6b5453518ff52c00f7124c63b02.mp3]| [æbˈdʌkt]|<img src="d5fc3dbebb89b0c23d94d0c26f0fde7e.jpg"></img>|She was <b>abduct</b>ed in a sack and placed next to the bed.|v.绑架，拐走<br>ab- away<br>duce/duct = to lead
aqueduct|[sound:5f20387fb78ab64f8f77630eae5d4a99.mp3]|/ˈækwɪdʌkt/|<img src="01fadaf33edf9485a9b886041db809c1.jpg"></img>|The <b>aqueduct</b> carries water across the field.|n. 渡槽，导水管，沟渠<br>aque 水<br>duce/duct = to lead
conduce||[kən`djus; kənˋdju:s]|||con.duce<br>[kən`djus; kənˋdju:s]<br>不及物动词<br>导致 [好的结果] ,有助于,有益于[to, toward]<br>Exercise ~s to good health.<br>运动有益健康<br>con- <br>duce/duct = to lead
seduce|[sound:816c6bc8ed8075acb80749df73fff4b2.mp3]|/sɪˈduːs/|<img src="1becc770c44fc1ef1a22aaa12e9998c3.jpg"></img>|I think she's trying to <b>seduce</b> me.|v. 引诱，诱使，诱惑，勾引；着迷<br>se- apart<br>duce/duct = to lead <br> ~ sb into doing
induce|[sound:3e18601ac73c71953b466cf79aa55ca8.mp3]|/ɪnˈduːs/|<img src="0698b4d47eba573645453d62dd903d47.jpg"></img>|The leader <b>induce</b>s his followers to follow his plan.|v. 劝诱，诱导，引导<br>in- <br>duce/duct = to lead<br>~ sb to do 
default|[sound:12499d6a289264b711d19944b11ed756.mp3]|/dɪˈfɔlt/|<img src="8f3cc90fc50a6777fd72c080ed683c51.jpg"></img>|Will the US <b>default</b> on its debt towards China?|n. 违约；缺席；缺乏;  vi. 不履行义务；拖欠;  vt. 不履行；不参加<br>fault 错误 <br> fall/false = mistake
fallible|[sound:e4ac4269e0cee3515b8977d4ae68b817.mp3]|/ˈfæləbl/|<img src="fbd8468984f63f7b72e5d683b2b0fc12.jpg"></img>|Everyone is <b>fallible</b>, even emperors can make mistakes sometimes.|adj. 会犯错的，易犯错的<br> fall/false = mistake
infallibility||[ˌInfælə`bIlətI; inˌfæləˋbiləti]|||in.fal.li.bil.i.ty<br>[ˌInfælə`bIlətI; inˌfæləˋbiləti]<br>《infallible 的名词》<br>不可数名词<br>1 绝无错误; 绝对确实<br>2 ‘天主教’ (教皇、枢机主教等会议的) 无谬性<br>papal ~<br>教皇无谬论<br> fall/false = mistake
fallacy|[sound:47a57588bafab9a7d01864ca8a8213d6.mp3]|/ˈfæləsi/|<img src="b8ccaa47043b076601e579caa158b62f.jpg"></img>|He's willing to believe in a <b>fallacy</b>.|n. 谬论，谬见；错误，谬误<br> fall/false = mistake
falsify|[sound:6d050164caf6dcbe857239accb8662d6.mp3]|/ˈfɔːlsɪfaɪ/|<img src="a44cc28e17f637764195756634e0d074.jpg"></img>|The man falsified evidence, repeatedly lying to the court.|v. 篡改，说谎<br> fall/false = mistake
falsehood|[sound:0136bcbf1279fd2ca71f77f78f7006d4.mp3]|/ˈfɔːlshʊd/|<img src="506be3f2d0ed2ffe5f1440e8dd6b31ff.jpg"></img>|It's a <b>falsehood</b>. Don't trust him.|n. 谬误，不真实，谎言<br> fall/false = mistake
deleterious|[sound:7256aec4ff3f626c1de885a9da139089.mp3]|/ˌdeləˈtɪriəs/|<img src="e0953c7c1ca748ae892ae35466b42b47.jpg"></img>|Smoking is <b>deleterious</b> to your health.|adj. 有害的；有毒的<br>想 删除一些有害的
